merchant_id,merchant_name,category,city,merchant_size,onboarding_date
M0094,Merchant_0094,Fuel,Delhi,Small,2025-01-14
M0095,Merchant_0095,Retail,Ahmedabad,Small,2024-11-27
M0096,Merchant_0096,Utilities,Pune,Medium,2022-07-01
M0097,Merchant_0097,Food,Jaipur,Small,2022-06-13
M0098,Merchant_0098,E-commerce,Jaipur,Medium,2024-01-27
M0099,Merchant_0099,E-commerce,Ahmedabad,Small,2022-05-06
M0100,Merchant_0100,Utilities,Jaipur,Small,2025-05-15
M0101,Merchant_0101,Utilities,Kolkata,Medium,2022-09-24
M0102,Merchant_0102,Utilities,Ahmedabad,Large,2022-12-20
M0103,Merchant_0103,E-commerce,Chennai,Small,2025-12-05
M0104,Merchant_0104,Travel,Jaipur,Small,2026-06-11
M0105,Merchant_0105,Entertainment,Delhi,Medium,2025-02-19
M0106,Merchant_0106,Entertainment,Bengaluru,Small,2026-03-12
M0107,Merchant_0107,E-commerce,Delhi,Small,2023-09-02
M0108,Merchant_0108,Food,Chennai,Small,2023-04-14
M0109,Merchant_0109,Entertainment,Bengaluru,Small,2024-03-11
M0110,Merchant_0110,Retail,Mumbai,Small,2022-05-13
M0111,Merchant_0111,Retail,Hyderabad,Small,2025-11-03
M0112,Merchant_0112,Entertainment,Pune,Large,2024-10-08
M0113,Merchant_0113,Food,Hyderabad,Medium,2024-04-28
M0114,Merchant_0114,E-commerce,Chennai,Large,2024-10-16
M0115,Merchant_0115,Food,Bengaluru,Small,2022-11-14
M0116,Merchant_0116,Utilities,Lucknow,Small,2026-05-20
M0117,Merchant_0117,Entertainment,Chennai,Large,2023-12-12
M0118,Merchant_0118,Entertainment,Lucknow,Small,2025-02-22
M0119,Merchant_0119,Utilities,Mumbai,Medium,2023-03-27
M0120,Merchant_0120,Food,Chennai,Small,2025-05-16
M0121,Merchant_0121,Utilities,Ahmedabad,Medium,2025-08-16
M0122,Merchant_0122,Grocery,Lucknow,Large,2026-02-21
M0123,Merchant_0123,Retail,Ahmedabad,Small,2023-09-25
M0124,Merchant_0124,Fuel,Mumbai,Small,2022-05-22
M0125,Merchant_0125,E-commerce,Kolkata,Small,2024-09-30
M0126,Merchant_0126,E-commerce,Lucknow,Small,2026-02-06
M0127,Merchant_0127,Grocery,Lucknow,Small,2024-05-08
M0128,Merchant_0128,Travel,Hyderabad,Medium,2023-07-23
M0129,Merchant_0129,Fuel,Chennai,Small,2022-10-31
M0130,Merchant_0130,Fuel,Chennai,Small,2023-10-19
M0131,Merchant_0131,Fuel,Pune,Small,2026-04-29
M0132,Merchant_0132,Utilities,Lucknow,Small,2023-10-06
M0133,Merchant_0133,Retail,Jaipur,Small,2023-08-16
M0134,Merchant_0134,Travel,Lucknow,Medium,2022-01-30
M0135,Merchant_0135,Grocery,Ahmedabad,Medium,2025-11-01
M0136,Merchant_0136,Utilities,Chennai,Small,2025-09-26
M0137,Merchant_0137,Travel,Hyderabad,Small,2025-05-17
M0138,Merchant_0138,E-commerce,Hyderabad,Medium,2025-06-20
M0139,Merchant_0139,Grocery,Jaipur,Small,2023-11-26
M0140,Merchant_0140,Utilities,Hyderabad,Small,2022-06-07
M0141,Merchant_0141,Retail,Kolkata,Medium,2022-05-26
M0142,Merchant_0142,E-commerce,Chennai,Small,2022-12-06
M0143,Merchant_0143,Travel,Delhi,Small,2024-05-15
M0144,Merchant_0144,Fuel,Pune,Large,2022-04-02
M0145,Merchant_0145,Entertainment,Bengaluru,Small,2022-11-25
M0146,Merchant_0146,Travel,Jaipur,Large,2022-06-21
M0147,Merchant_0147,E-commerce,Lucknow,Small,2023-12-03
M0148,Merchant_0148,Utilities,Mumbai,Medium,2024-11-20
M0149,Merchant_0149,Utilities,Lucknow,Small,2023-09-13
M0150,Merchant_0150,Retail,Hyderabad,Small,2022-09-29
M0151,Merchant_0151,Retail,Hyderabad,Medium,2025-01-23
M0152,Merchant_0152,Retail,Jaipur,Medium,2024-09-15
M0153,Merchant_0153,Grocery,Mumbai,Small,2022-03-18
M0154,Merchant_0154,Entertainment,Delhi,Medium,2022-05-31
M0155,Merchant_0155,Travel,Mumbai,Small,2022-05-22
M0156,Merchant_0156,Fuel,Mumbai,Medium,2022-08-19
M0157,Merchant_0157,Utilities,Mumbai,Medium,2024-08-11
M0158,Merchant_0158,Fuel,Bengaluru,Small,2022-05-08
M0159,Merchant_0159,Food,Hyderabad,Small,2024-05-09
M0160,Merchant_0160,Retail,Lucknow,Small,2023-11-27
M0161,Merchant_0161,E-commerce,Delhi,Large,2023-05-12
M0162,Merchant_0162,Fuel,Mumbai,Small,2025-07-27
M0163,Merchant_0163,Retail,Pune,Medium,2026-04-14
M0164,Merchant_0164,Fuel,Chennai,Small,2024-03-20
M0165,Merchant_0165,Travel,Delhi,Medium,2026-04-03
M0166,Merchant_0166,Food,Bengaluru,Medium,2022-05-11
M0167,Merchant_0167,Retail,Lucknow,Medium,2026-01-24
M0168,Merchant_0168,Grocery,Bengaluru,Large,2022-09-26
M0169,Merchant_0169,Grocery,Delhi,Small,2023-09-10
M0170,Merchant_0170,Entertainment,Hyderabad,Small,2024-08-19
M0171,Merchant_0171,Fuel,Pune,Large,2026-05-14
M0172,Merchant_0172,Utilities,Ahmedabad,Small,2026-06-16
M0173,Merchant_0173,Travel,Chennai,Medium,2025-07-07
M0174,Merchant_0174,E-commerce,Jaipur,Medium,2024-12-10
M0175,Merchant_0175,Entertainment,Bengaluru,Medium,2025-03-02
M0176,Merchant_0176,Entertainment,Lucknow,Small,2024-03-19
M0177,Merchant_0177,Utilities,Jaipur,Small,2024-10-25
M0178,Merchant_0178,Retail,Hyderabad,Medium,2023-10-10
M0179,Merchant_0179,Food,Ahmedabad,Small,2024-01-08
M0180,Merchant_0180,Entertainment,Lucknow,Medium,2023-05-17
M0181,Merchant_0181,Entertainment,Kolkata,Small,2025-04-22
M0182,Merchant_0182,Travel,Kolkata,Small,2023-02-13
M0183,Merchant_0183,Fuel,Jaipur,Small,2025-01-19
M0184,Merchant_0184,Travel,Lucknow,Large,2025-12-30
M0185,Merchant_0185,Food,Delhi,Small,2024-03-30
M0186,Merchant_0186,Travel,Pune,Small,2024-06-21
M0187,Merchant_0187,Retail,Bengaluru,Large,2022-07-08
M0188,Merchant_0188,Entertainment,Kolkata,Medium,2026-02-12
M0189,Merchant_0189,Fuel,Bengaluru,Large,2024-09-07
M0190,Merchant_0190,Food,Pune,Small,2024-03-25
M0191,Merchant_0191,Entertainment,Pune,Medium,2023-01-18
M0192,Merchant_0192,Fuel,Delhi,Small,2024-04-29
M0193,Merchant_0193,E-commerce,Mumbai,Medium,2025-09-07
M0194,Merchant_0194,Entertainment,Chennai,Medium,2026-01-06
M0195,Merchant_0195,Retail,Mumbai,Small,2023-05-05
M0196,Merchant_0196,Food,Jaipur,Small,2025-03-02
M0197,Merchant_0197,E-commerce,Lucknow,Medium,2023-03-02
M0198,Merchant_0198,E-commerce,Pune,Small,2022-09-07
M0199,Merchant_0199,E-commerce,Mumbai,Medium,2024-12-20
M0200,Merchant_0200,Food,Ahmedabad,Small,2026-05-05
M0201,Merchant_0201,Fuel,Mumbai,Large,2024-10-16
M0202,Merchant_0202,Travel,Hyderabad,Small,2025-12-16
M0203,Merchant_0203,Travel,Kolkata,Small,2026-02-08
M0204,Merchant_0204,E-commerce,Hyderabad,Small,2025-05-31
M0205,Merchant_0205,Grocery,Pune,Small,2026-01-01
M0206,Merchant_0206,Grocery,Kolkata,Small,2023-11-15
M0207,Merchant_0207,Food,Hyderabad,Small,2025-11-08
M0208,Merchant_0208,Fuel,Pune,Small,2022-11-15
M0209,Merchant_0209,Food,Kolkata,Medium,2024-10-16
M0210,Merchant_0210,Fuel,Mumbai,Small,2022-08-13
M0211,Merchant_0211,Retail,Bengaluru,Medium,2023-02-27
M0212,Merchant_0212,Grocery,Mumbai,Small,2024-06-26
M0213,Merchant_0213,Food,Bengaluru,Small,2025-04-29
M0214,Merchant_0214,Utilities,Delhi,Small,2022-03-20
M0215,Merchant_0215,Entertainment,Pune,Medium,2024-05-04
M0216,Merchant_0216,Retail,Lucknow,Small,2024-09-30
M0217,Merchant_0217,Travel,Pune,Small,2022-12-31
M0218,Merchant_0218,Grocery,Lucknow,Small,2022-01-22
M0219,Merchant_0219,Fuel,Jaipur,Small,2023-07-02
M0220,Merchant_0220,E-commerce,Ahmedabad,Small,2022-11-26
M0221,Merchant_0221,Entertainment,Bengaluru,Small,2025-03-25
M0222,Merchant_0222,Travel,Mumbai,Small,2022-02-25
M0223,Merchant_0223,Travel,Pune,Medium,2025-06-25
M0224,Merchant_0224,Retail,Bengaluru,Small,2024-07-13
M0225,Merchant_0225,Entertainment,Pune,Small,2022-09-18
M0226,Merchant_0226,Utilities,Jaipur,Small,2023-03-11
M0227,Merchant_0227,Entertainment,Mumbai,Small,2026-03-31
M0228,Merchant_0228,Food,Mumbai,Small,2026-02-10
M0229,Merchant_0229,E-commerce,Jaipur,Medium,2023-06-22
M0230,Merchant_0230,Entertainment,Bengaluru,Medium,2023-06-19
M0231,Merchant_0231,Entertainment,Lucknow,Small,2023-01-16
M0232,Merchant_0232,Entertainment,Pune,Small,2022-04-13
M0233,Merchant_0233,Food,Jaipur,Small,2022-01-29
M0234,Merchant_0234,Retail,Pune,Small,2026-02-15
M0235,Merchant_0235,Entertainment,Bengaluru,Large,2024-12-16
M0236,Merchant_0236,Travel,Jaipur,Medium,2024-12-21
M0237,Merchant_0237,Grocery,Kolkata,Small,2024-08-12
M0238,Merchant_0238,Travel,Kolkata,Large,2024-12-07
M0239,Merchant_0239,Retail,Ahmedabad,Small,2025-10-22
M0240,Merchant_0240,Travel,Pune,Small,2023-07-01
M0241,Merchant_0241,E-commerce,Delhi,Small,2026-05-01
M0242,Merchant_0242,Travel,Jaipur,Small,2026-04-18
M0243,Merchant_0243,Entertainment,Bengaluru,Medium,2022-11-23
M0244,Merchant_0244,Travel,Delhi,Medium,2022-09-23
M0245,Merchant_0245,Travel,Lucknow,Medium,2023-12-30
M0246,Merchant_0246,Grocery,Lucknow,Small,2025-04-14
M0247,Merchant_0247,Fuel,Pune,Medium,2024-12-03
M0248,Merchant_0248,Fuel,Ahmedabad,Medium,2022-08-07
M0249,Merchant_0249,Food,Bengaluru,Small,2022-05-06
M0250,Merchant_0250,Entertainment,Chennai,Small,2024-05-31
M0251,Merchant_0251,Fuel,Jaipur,Medium,2025-11-03
M0252,Merchant_0252,Fuel,Delhi,Medium,2022-11-15
M0253,Merchant_0253,Fuel,Ahmedabad,Medium,2025-08-21
M0254,Merchant_0254,Entertainment,Lucknow,Small,2025-05-08
M0255,Merchant_0255,Utilities,Kolkata,Small,2022-03-26
M0256,Merchant_0256,Entertainment,Bengaluru,Medium,2024-11-30
M0257,Merchant_0257,Travel,Mumbai,Medium,2023-12-24
M0258,Merchant_0258,Utilities,Chennai,Small,2026-04-24
M0259,Merchant_0259,Travel,Delhi,Small,2025-10-18
M0260,Merchant_0260,E-commerce,Bengaluru,Large,2025-07-16
M0261,Merchant_0261,Entertainment,Pune,Large,2022-12-28
M0262,Merchant_0262,Grocery,Ahmedabad,Medium,2023-01-02
M0263,Merchant_0263,Utilities,Delhi,Small,2025-04-19
M0264,Merchant_0264,Travel,Chennai,Medium,2025-06-08
M0265,Merchant_0265,Travel,Mumbai,Small,2024-09-14
M0266,Merchant_0266,Fuel,Kolkata,Medium,2024-12-29
M0267,Merchant_0267,Grocery,Hyderabad,Small,2023-08-11
M0268,Merchant_0268,Grocery,Mumbai,Medium,2024-08-20
M0269,Merchant_0269,Fuel,Jaipur,Medium,2023-05-04
M0270,Merchant_0270,Utilities,Jaipur,Medium,2025-06-11
M0271,Merchant_0271,Fuel,Bengaluru,Small,2025-12-23
M0272,Merchant_0272,Grocery,Chennai,Small,2024-04-10
M0273,Merchant_0273,Retail,Kolkata,Medium,2023-10-28
M0274,Merchant_0274,Fuel,Hyderabad,Small,2025-08-10
M0275,Merchant_0275,Fuel,Chennai,Small,2025-10-03
M0276,Merchant_0276,Grocery,Jaipur,Large,2025-01-27
M0277,Merchant_0277,Entertainment,Lucknow,Small,2024-05-25
M0278,Merchant_0278,Utilities,Chennai,Medium,2022-12-27
M0279,Merchant_0279,Retail,Kolkata,Small,2022-12-24
M0280,Merchant_0280,E-commerce,Chennai,Medium,2025-02-27
M0281,Merchant_0281,Retail,Kolkata,Medium,2026-03-23
M0282,Merchant_0282,Food,Mumbai,Medium,2025-11-07
M0283,Merchant_0283,Entertainment,Chennai,Large,2026-06-29
M0284,Merchant_0284,Retail,Jaipur,Small,2026-05-05
M0285,Merchant_0285,Entertainment,Bengaluru,Medium,2024-01-06
M0286,Merchant_0286,Fuel,Chennai,Medium,2022-03-05
M0287,Merchant_0287,Travel,Hyderabad,Small,2025-11-20
M0288,Merchant_0288,Grocery,Kolkata,Small,2022-06-30
M0289,Merchant_0289,Entertainment,Kolkata,Large,2023-08-10
M0290,Merchant_0290,E-commerce,Jaipur,Small,2022-07-08
M0291,Merchant_0291,Fuel,Hyderabad,Small,2025-04-21
M0292,Merchant_0292,E-commerce,Ahmedabad,Small,2026-02-24
M0293,Merchant_0293,Grocery,Ahmedabad,Small,2023-08-03
M0294,Merchant_0294,E-commerce,Ahmedabad,Medium,2022-06-19
M0295,Merchant_0295,Retail,Ahmedabad,Small,2022-11-18
M0296,Merchant_0296,Grocery,Chennai,Small,2025-04-10
M0297,Merchant_0297,Fuel,Ahmedabad,Medium,2022-10-11
M0298,Merchant_0298,Entertainment,Chennai,Small,2023-01-01
M0299,Merchant_0299,Travel,Lucknow,Medium,2022-04-21
M0300,Merchant_0300,Fuel,Delhi,Medium,2022-03-19
M0301,Merchant_0301,Utilities,Bengaluru,Medium,2022-09-10
M0302,Merchant_0302,Entertainment,Chennai,Medium,2022-08-24
M0303,Merchant_0303,Food,Kolkata,Small,2022-04-03
M0304,Merchant_0304,Grocery,Hyderabad,Small,2024-11-23
M0305,Merchant_0305,Fuel,Mumbai,Small,2026-02-13
M0306,Merchant_0306,Retail,Hyderabad,Small,2025-11-28
M0307,Merchant_0307,Retail,Chennai,Small,2022-08-10
M0308,Merchant_0308,Entertainment,Ahmedabad,Small,2024-06-14
M0309,Merchant_0309,Utilities,Hyderabad,Small,2026-02-22
M0310,Merchant_0310,E-commerce,Lucknow,Small,2025-09-25
M0311,Merchant_0311,Fuel,Mumbai,Small,2026-03-17
M0312,Merchant_0312,E-commerce,Pune,Small,2024-08-18
M0313,Merchant_0313,Food,Kolkata,Small,2024-09-11
M0314,Merchant_0314,Grocery,Chennai,Medium,2026-06-21
M0315,Merchant_0315,Food,Bengaluru,Medium,2026-06-11
M0316,Merchant_0316,Travel,Kolkata,Medium,2024-04-22
M0317,Merchant_0317,Utilities,Hyderabad,Medium,2022-09-09
M0318,Merchant_0318,E-commerce,Pune,Medium,2025-10-19
M0319,Merchant_0319,Fuel,Kolkata,Medium,2026-03-31
M0320,Merchant_0320,E-commerce,Delhi,Small,2022-05-22
M0321,Merchant_0321,Food,Hyderabad,Small,2022-11-07
M0322,Merchant_0322,Entertainment,Hyderabad,Medium,2025-11-09
M0323,Merchant_0323,Utilities,Chennai,Small,2023-08-05
M0324,Merchant_0324,Travel,Kolkata,Small,2025-08-28
M0325,Merchant_0325,Food,Hyderabad,Small,2025-07-26
M0326,Merchant_0326,Travel,Lucknow,Small,2026-05-09
M0327,Merchant_0327,Utilities,Mumbai,Medium,2022-12-12
M0328,Merchant_0328,Retail,Mumbai,Small,2025-11-11
M0329,Merchant_0329,Retail,Pune,Small,2022-10-29
M0330,Merchant_0330,Fuel,Mumbai,Small,2023-05-22
M0331,Merchant_0331,Entertainment,Bengaluru,Medium,2022-09-04
M0332,Merchant_0332,Food,Jaipur,Medium,2023-05-03
M0333,Merchant_0333,Retail,Bengaluru,Small,2025-06-16
M0334,Merchant_0334,E-commerce,Bengaluru,Medium,2026-04-02
M0335,Merchant_0335,Utilities,Jaipur,Small,2024-07-16
M0336,Merchant_0336,Grocery,Pune,Medium,2025-10-04
M0337,Merchant_0337,Utilities,Ahmedabad,Medium,2024-03-01
M0338,Merchant_0338,E-commerce,Lucknow,Large,2024-06-30
M0339,Merchant_0339,Retail,Jaipur,Small,2025-10-07
M0340,Merchant_0340,Retail,Chennai,Small,2022-06-03
M0341,Merchant_0341,Food,Kolkata,Small,2026-03-14
M0342,Merchant_0342,Travel,Kolkata,Small,2025-04-24
M0343,Merchant_0343,Grocery,Kolkata,Small,2024-08-01
M0344,Merchant_0344,Grocery,Hyderabad,Small,2023-08-18
M0345,Merchant_0345,Travel,Delhi,Small,2026-05-10
M0346,Merchant_0346,Food,Delhi,Large,2025-12-19
M0347,Merchant_0347,Retail,Kolkata,Small,2022-03-03
M0348,Merchant_0348,Travel,Lucknow,Large,2025-11-25
M0349,Merchant_0349,Utilities,Kolkata,Medium,2024-05-19
M0350,Merchant_0350,Utilities,Lucknow,Medium,2024-12-18
M0351,Merchant_0351,Utilities,Kolkata,Large,2025-03-11
M0352,Merchant_0352,Grocery,Ahmedabad,Medium,2023-04-11
M0353,Merchant_0353,Grocery,Bengaluru,Medium,2025-03-18
M0354,Merchant_0354,Utilities,Pune,Small,2026-01-10
M0355,Merchant_0355,Utilities,Chennai,Small,2025-04-12
M0356,Merchant_0356,Utilities,Ahmedabad,Large,2022-11-07
M0357,Merchant_0357,Retail,Ahmedabad,Small,2024-12-21
M0358,Merchant_0358,Retail,Lucknow,Small,2025-04-05
M0359,Merchant_0359,Fuel,Bengaluru,Medium,2024-03-26
M0360,Merchant_0360,E-commerce,Hyderabad,Small,2022-04-13
M0361,Merchant_0361,Travel,Chennai,Medium,2022-01-28
M0362,Merchant_0362,Retail,Hyderabad,Small,2026-06-08
M0363,Merchant_0363,Fuel,Lucknow,Medium,2023-05-23
M0364,Merchant_0364,Food,Hyderabad,Small,2022-05-14
M0365,Merchant_0365,Utilities,Pune,Large,2022-02-28
M0366,Merchant_0366,Grocery,Lucknow,Small,2025-01-18
M0367,Merchant_0367,Travel,Kolkata,Medium,2022-03-11
M0368,Merchant_0368,E-commerce,Delhi,Small,2022-07-04
M0369,Merchant_0369,Food,Delhi,Small,2026-01-01
M0370,Merchant_0370,Travel,Lucknow,Small,2023-07-26
M0371,Merchant_0371,Travel,Jaipur,Small,2026-02-06
M0372,Merchant_0372,Retail,Hyderabad,Medium,2022-06-17
M0373,Merchant_0373,Fuel,Pune,Small,2023-08-01
M0374,Merchant_0374,Travel,Bengaluru,Small,2025-02-21
M0375,Merchant_0375,E-commerce,Delhi,Small,2025-05-21
M0376,Merchant_0376,Food,Lucknow,Medium,2022-07-01
M0377,Merchant_0377,E-commerce,Ahmedabad,Small,2022-03-12
M0378,Merchant_0378,Travel,Hyderabad,Small,2023-07-10
M0379,Merchant_0379,Entertainment,Mumbai,Medium,2024-05-01
M0380,Merchant_0380,E-commerce,Chennai,Large,2025-05-03
M0381,Merchant_0381,E-commerce,Chennai,Medium,2026-05-12
M0382,Merchant_0382,Utilities,Delhi,Medium,2025-08-08
M0383,Merchant_0383,Entertainment,Delhi,Small,2024-12-16
M0384,Merchant_0384,Fuel,Ahmedabad,Medium,2023-11-14
M0385,Merchant_0385,Entertainment,Kolkata,Medium,2025-08-16
M0386,Merchant_0386,Grocery,Delhi,Large,2022-11-14
M0387,Merchant_0387,Entertainment,Lucknow,Small,2025-10-26
M0388,Merchant_0388,Travel,Mumbai,Large,2025-01-11
M0389,Merchant_0389,Food,Ahmedabad,Small,2024-04-08
M0390,Merchant_0390,Utilities,Lucknow,Medium,2022-04-04
M0391,Merchant_0391,Utilities,Delhi,Small,2022-09-24
M0392,Merchant_0392,Grocery,Pune,Small,2025-10-31
M0393,Merchant_0393,E-commerce,Chennai,Small,2025-03-30
M0394,Merchant_0394,Grocery,Lucknow,Small,2023-09-06
M0395,Merchant_0395,Retail,Mumbai,Medium,2023-05-17
M0396,Merchant_0396,Retail,Delhi,Medium,2025-11-01
M0397,Merchant_0397,Travel,Lucknow,Medium,2025-02-09
M0398,Merchant_0398,Utilities,Hyderabad,Small,2023-08-01
M0399,Merchant_0399,Food,Delhi,Large,2023-09-24
M0400,Merchant_0400,Entertainment,Chennai,Medium,2022-10-06
M0401,Merchant_0401,Retail,Hyderabad,Small,2024-01-24
M0402,Merchant_0402,E-commerce,Bengaluru,Medium,2025-12-27
M0403,Merchant_0403,Fuel,Chennai,Small,2022-08-30
M0404,Merchant_0404,Fuel,Jaipur,Small,2025-05-30
M0405,Merchant_0405,Entertainment,Ahmedabad,Small,2024-02-22
M0406,Merchant_0406,E-commerce,Delhi,Small,2024-08-19
M0407,Merchant_0407,Entertainment,Bengaluru,Small,2025-08-02
M0408,Merchant_0408,Entertainment,Delhi,Small,2024-09-11
M0409,Merchant_0409,Grocery,Lucknow,Large,2022-01-04
M0410,Merchant_0410,E-commerce,Kolkata,Small,2022-11-16
M0411,Merchant_0411,Grocery,Jaipur,Small,2025-09-06
M0412,Merchant_0412,Grocery,Mumbai,Large,2024-10-28
M0413,Merchant_0413,Fuel,Bengaluru,Small,2024-12-11
M0414,Merchant_0414,Entertainment,Chennai,Medium,2024-10-20
M0415,Merchant_0415,Entertainment,Hyderabad,Small,2025-03-11
M0416,Merchant_0416,Retail,Lucknow,Small,2024-02-18
M0417,Merchant_0417,E-commerce,Lucknow,Small,2024-04-06
M0418,Merchant_0418,Retail,Mumbai,Large,2022-10-07
M0419,Merchant_0419,Travel,Jaipur,Small,2025-01-16
M0420,Merchant_0420,Food,Kolkata,Small,2025-03-29
M0421,Merchant_0421,Fuel,Kolkata,Large,2024-09-11
