transaction_id,customer_id,merchant_id,transaction_date,amount,payment_product,payment_channel,transaction_status
T0000052,C04221,M0249,2026-04-23,275.81,UPI,UPI Lite,Success
T0000053,C00201,M0345,2025-04-19,753.81,UPI,Mobile App,Success
T0000054,C02622,M0118,2026-01-05,1520.69,Acceptance,POS,Reversed
T0000055,C00722,M0288,2025-09-12,722.6,UPI,Mobile App,Failed
T0000056,C00952,M0325,2025-05-14,2599.27,Acceptance,POS,Success
T0000057,C01882,M0008,2025-08-04,298.12,UPI,UPI Lite,Success
T0000058,C02228,M0405,2025-10-29,289.18,UPI,UPI Lite,Success
T0000059,C01433,M0480,2025-12-05,3761.69,RuPay,POS,Failed
T0000060,C02321,M0412,2026-06-22,599.37,UPI,UPI Lite,Success
T0000061,C01777,M0451,2025-10-07,318.72,UPI,QR,Success
T0000062,C00699,M0164,2025-09-24,420.78,UPI,Mobile App,Success
T0000063,C02969,M0349,2026-02-17,965.59,RuPay,POS,Success
T0000064,C00622,M0176,2025-10-21,3456.38,RuPay,POS,Success
T0000065,C02588,M0125,2026-05-27,552.75,UPI,Mobile App,Success
T0000066,C00460,M0409,2025-05-14,706.17,UPI,QR,Success
T0000067,C01085,M0499,2025-09-06,2220.16,RuPay,POS,Success
T0000068,C00300,M0160,2026-06-10,328.85,UPI,UPI Lite,Success
T0000069,C02545,M0213,2025-04-04,978.15,UPI,UPI Lite,Success
T0000070,C01276,M0281,2025-10-22,527.33,UPI,Mobile App,Success
T0000071,C01431,M0324,2025-08-06,531.15,UPI,QR,Success
T0000072,C03453,M0212,2025-11-25,613.53,UPI,QR,Success
T0000073,C02389,M0337,2025-12-27,1013.48,UPI,UPI Lite,Success
T0000074,C01822,M0368,2026-02-14,607.38,UPI,Mobile App,Success
T0000075,C00989,M0426,2025-04-26,1481.84,Acceptance,POS,Success
T0000076,C00214,M0364,2025-09-01,371.92,UPI,Mobile App,Success
T0000077,C00532,M0450,2025-09-02,2342.23,Acceptance,QR,Success
T0000078,C02918,M0017,2026-03-18,505.07,UPI,Mobile App,Success
T0000079,C03620,M0227,2026-03-19,827.04,NETC,FASTag,Failed
T0000080,C01985,M0269,2026-04-11,240.4,UPI,Mobile App,Success
T0000081,C02259,M0428,2025-02-18,498.97,UPI,Mobile App,Success
T0000082,C02219,M0077,2025-01-18,879.12,NETC,Toll Plaza,Success
T0000083,C04634,M0448,2025-03-09,1981.97,RuPay,E-commerce,Success
T0000084,C04772,M0290,2026-03-29,1523.23,RuPay,E-commerce,Success
T0000085,C04486,M0452,2026-05-27,333.67,UPI,QR,Success
T0000086,C02110,M0051,2026-03-02,1166.68,NETC,FASTag,Success
T0000087,C03061,M0355,2025-04-11,300.04,UPI,QR,Success
T0000088,C01609,M0312,2026-05-30,4749.55,RuPay,E-commerce,Success
T0000089,C02525,M0015,2025-10-15,449.11,UPI,QR,Success
T0000090,C04416,M0243,2025-08-07,2453.04,RuPay,POS,Success
T0000091,C00690,M0475,2026-04-21,1099.73,UPI,Mobile App,Success
T0000092,C02100,M0440,2026-06-12,290.19,UPI,UPI Lite,Success
T0000093,C04753,M0005,2026-04-01,538.94,NETC,Toll Plaza,Success
T0000094,C04924,M0439,2025-11-30,431.47,UPI,QR,Success
T0000095,C01101,M0266,2025-11-18,2252.26,UPI,Mobile App,Success
T0000096,C00119,M0085,2025-06-04,705.61,Acceptance,E-commerce,Success
T0000097,C02769,M0058,2025-02-05,1308.96,Acceptance,QR,Success
T0000098,C00506,M0408,2025-02-05,479.06,UPI,QR,Success
T0000099,C02201,M0277,2025-04-03,448.78,NETC,Toll Plaza,Success
T0000100,C01042,M0290,2025-05-01,514.39,Acceptance,E-commerce,Success
T0000101,C03136,M0351,2026-04-24,2391.64,RuPay,E-commerce,Success
T0000102,C00497,M0041,2025-11-06,7195.03,RuPay,E-commerce,Success
T0000103,C04175,M0080,2025-02-08,1814.31,Acceptance,QR,Failed
T0000104,C00059,M0411,2025-02-21,2153.5,RuPay,E-commerce,Success
T0000105,C03133,M0214,2026-01-13,1909.98,RuPay,POS,Success
T0000106,C03539,M0191,2025-08-09,345.81,UPI,Mobile App,Failed
T0000107,C01654,M0448,2025-05-13,584.84,NETC,FASTag,Success
T0000108,C01707,M0324,2025-02-23,1320.09,NETC,FASTag,Success
T0000109,C00244,M0053,2026-06-06,2146.61,RuPay,E-commerce,Success
T0000110,C02256,M0059,2026-02-10,1153.59,UPI,QR,Success
T0000111,C01675,M0157,2026-06-25,2179.57,RuPay,E-commerce,Success
T0000112,C02693,M0266,2026-06-17,1114.35,RuPay,ATM,Success
T0000113,C00039,M0190,2026-01-08,650.52,UPI,QR,Success
T0000114,C03248,M0093,2026-02-17,849.34,NETC,FASTag,Success
T0000115,C01616,M0232,2026-01-17,190.41,UPI,Mobile App,Success
T0000116,C00020,M0115,2026-02-22,3683.87,RuPay,POS,Success
T0000117,C00221,M0179,2026-03-28,2729.19,UPI,Mobile App,Success
T0000118,C03772,M0247,2025-03-22,1667.0,RuPay,POS,Success
T0000119,C00251,M0157,2026-02-13,1889.14,Acceptance,QR,Success
T0000120,C04308,M0252,2025-07-30,229.08,UPI,UPI Lite,Success
T0000121,C04515,M0412,2025-12-20,754.62,Acceptance,QR,Success
T0000122,C00507,M0065,2025-05-28,190.58,UPI,QR,Success
T0000123,C04742,M0441,2025-11-22,502.51,UPI,QR,Failed
T0000124,C00869,M0441,2025-01-08,3209.55,RuPay,POS,Success
T0000125,C03991,M0194,2026-06-08,457.18,NETC,FASTag,Success
T0000126,C04588,M0388,2025-09-26,953.03,UPI,QR,Success
T0000127,C01170,M0137,2025-11-07,775.34,UPI,UPI Lite,Success
T0000128,C00740,M0388,2025-09-04,2485.41,RuPay,ATM,Success
T0000129,C01791,M0384,2026-06-22,488.07,UPI,Mobile App,Success
T0000130,C00424,M0168,2025-08-31,527.81,NETC,FASTag,Success
T0000131,C03056,M0029,2025-08-11,203.47,UPI,UPI Lite,Success
T0000132,C04388,M0093,2026-06-12,2422.62,RuPay,E-commerce,Success
T0000133,C02204,M0416,2025-01-17,191.42,UPI,QR,Success
T0000134,C01984,M0045,2025-01-10,514.54,UPI,QR,Reversed
T0000135,C03923,M0099,2026-05-04,539.46,Acceptance,POS,Success
T0000136,C02398,M0276,2025-08-22,2644.01,RuPay,ATM,Success
T0000137,C01958,M0382,2025-07-11,551.55,UPI,QR,Success
T0000138,C04339,M0029,2025-05-24,649.12,UPI,QR,Success
T0000139,C01790,M0209,2025-06-26,319.94,UPI,QR,Success
T0000140,C00585,M0221,2025-03-24,651.37,UPI,QR,Success
T0000141,C03201,M0404,2026-01-23,804.12,RuPay,E-commerce,Success
T0000142,C01343,M0478,2025-06-18,660.06,UPI,QR,Success
T0000143,C04191,M0160,2026-01-02,78.61,UPI,UPI Lite,Success
T0000144,C04397,M0086,2025-11-28,443.6,NETC,FASTag,Success
T0000145,C01209,M0234,2026-03-09,699.41,UPI,Mobile App,Success
T0000146,C02823,M0413,2026-06-30,1483.83,Acceptance,POS,Success
T0000147,C03694,M0235,2026-04-07,1209.08,Acceptance,POS,Failed
T0000148,C02448,M0171,2025-09-01,575.52,UPI,QR,Success
T0000149,C04786,M0343,2025-07-20,3027.61,RuPay,POS,Success
T0000150,C01166,M0006,2025-10-27,407.9,UPI,QR,Reversed
T0000151,C04757,M0244,2026-06-23,257.25,UPI,QR,Success
T0000152,C02306,M0143,2026-04-23,116.96,UPI,Mobile App,Success
T0000153,C01063,M0224,2026-05-10,907.92,Acceptance,QR,Success
T0000154,C04401,M0336,2025-09-24,430.48,UPI,Mobile App,Success
T0000155,C03355,M0136,2026-05-22,313.14,UPI,UPI Lite,Success
T0000156,C01848,M0151,2025-05-26,1777.44,RuPay,POS,Success
T0000157,C00526,M0271,2025-02-16,428.43,NETC,Toll Plaza,Success
T0000158,C04503,M0497,2025-03-21,1454.75,RuPay,E-commerce,Success
T0000159,C01383,M0033,2025-11-15,235.44,UPI,UPI Lite,Success
T0000160,C04982,M0203,2026-04-16,214.65,UPI,UPI Lite,Success
T0000161,C04969,M0381,2026-05-02,455.04,NETC,Toll Plaza,Success
T0000162,C04107,M0441,2025-02-25,1963.71,RuPay,E-commerce,Success
T0000163,C02723,M0249,2025-05-08,1222.43,RuPay,ATM,Success
T0000164,C01988,M0089,2025-04-18,3599.6,RuPay,ATM,Success
T0000165,C04068,M0424,2025-12-06,702.22,RuPay,POS,Success
T0000166,C04105,M0463,2026-02-05,1097.54,Acceptance,QR,Success
T0000167,C04124,M0265,2025-05-05,292.18,UPI,Mobile App,Success
T0000168,C00686,M0289,2025-05-10,533.44,NETC,Toll Plaza,Success
T0000169,C02550,M0077,2026-01-19,918.25,UPI,Mobile App,Success
T0000170,C04678,M0114,2025-05-15,7327.12,RuPay,ATM,Success
T0000171,C03867,M0153,2025-03-19,528.74,NETC,Toll Plaza,Success
T0000172,C02826,M0308,2025-11-08,210.73,UPI,UPI Lite,Success
T0000173,C03735,M0346,2025-02-09,574.65,UPI,QR,Success
T0000174,C01242,M0283,2025-07-07,1606.44,RuPay,ATM,Success
T0000175,C03501,M0309,2025-04-07,415.7,UPI,QR,Success
T0000176,C01662,M0177,2026-06-20,1116.8,RuPay,E-commerce,Success
T0000177,C02051,M0062,2026-05-03,613.31,UPI,UPI Lite,Success
T0000178,C04139,M0331,2025-06-16,3516.46,RuPay,E-commerce,Failed
T0000179,C03262,M0098,2025-03-27,1429.74,RuPay,E-commerce,Success
T0000180,C04138,M0098,2026-03-19,919.03,RuPay,E-commerce,Success
T0000181,C03844,M0229,2025-03-06,927.83,RuPay,E-commerce,Success
T0000182,C04826,M0293,2025-10-26,316.08,UPI,QR,Success
T0000183,C01982,M0009,2026-02-09,1859.05,RuPay,POS,Success
T0000184,C00648,M0492,2025-11-02,139.7,UPI,QR,Success
T0000185,C03924,M0181,2026-02-25,2858.95,RuPay,POS,Success
T0000186,C02705,M0256,2025-09-20,4170.98,RuPay,POS,Success
T0000187,C01983,M0474,2025-08-31,260.85,UPI,UPI Lite,Success
T0000188,C01929,M0312,2026-01-29,2138.97,RuPay,ATM,Success
T0000189,C02558,M0376,2025-08-22,1044.59,UPI,UPI Lite,Success
T0000190,C04133,M0451,2025-10-04,329.93,UPI,UPI Lite,Success
T0000191,C02020,M0211,2025-02-01,242.11,UPI,Mobile App,Success
T0000192,C00823,M0419,2025-01-04,1677.18,UPI,UPI Lite,Success
T0000193,C04675,M0245,2025-07-29,1149.61,Acceptance,POS,Success
T0000194,C02565,M0193,2026-01-10,2801.12,RuPay,E-commerce,Success
T0000195,C02833,M0458,2026-03-27,273.92,UPI,Mobile App,Success
T0000196,C01021,M0047,2026-02-10,868.98,UPI,Mobile App,Success
T0000197,C01082,M0088,2025-09-01,247.95,UPI,QR,Success
T0000198,C02023,M0381,2025-04-26,1070.19,UPI,QR,Success
T0000199,C04209,M0293,2026-01-25,1002.05,Acceptance,E-commerce,Success
T0000200,C03676,M0484,2025-03-27,1064.07,UPI,Mobile App,Success
T0000201,C02884,M0331,2025-12-09,375.56,UPI,Mobile App,Failed
T0000202,C01780,M0490,2026-05-11,1147.19,RuPay,E-commerce,Success
T0000203,C01820,M0035,2025-08-03,382.71,UPI,UPI Lite,Reversed
T0000204,C04697,M0161,2025-08-20,522.06,UPI,UPI Lite,Success
T0000205,C04538,M0297,2026-02-26,120.93,UPI,Mobile App,Success
T0000206,C03762,M0477,2025-09-14,337.57,UPI,QR,Success
T0000207,C00228,M0425,2025-07-29,4731.76,Acceptance,E-commerce,Success
T0000208,C00874,M0482,2025-07-29,298.37,UPI,UPI Lite,Success
T0000209,C03651,M0245,2025-12-15,269.7,NETC,Toll Plaza,Failed
T0000210,C04767,M0178,2026-05-07,616.83,NETC,Toll Plaza,Success
T0000211,C03429,M0296,2026-01-07,924.16,Acceptance,QR,Success
T0000212,C01292,M0395,2025-07-06,380.8,NETC,FASTag,Success
T0000213,C04791,M0449,2025-10-27,610.53,UPI,QR,Success
T0000214,C02917,M0297,2026-01-10,843.79,UPI,QR,Success
T0000215,C01028,M0117,2026-06-13,657.95,UPI,UPI Lite,Success
T0000216,C03550,M0311,2025-01-11,657.74,UPI,UPI Lite,Success
T0000217,C00121,M0067,2025-09-09,176.4,UPI,QR,Success
T0000218,C00742,M0294,2025-12-29,412.41,Acceptance,QR,Success
T0000219,C03882,M0254,2025-07-28,275.51,UPI,UPI Lite,Success
T0000220,C01510,M0489,2025-03-12,331.16,UPI,UPI Lite,Failed
T0000221,C01243,M0335,2025-05-24,511.77,Acceptance,E-commerce,Failed
T0000222,C04790,M0057,2025-02-17,262.31,UPI,QR,Success
T0000223,C04353,M0474,2025-03-18,578.8,UPI,UPI Lite,Success
T0000224,C02091,M0433,2026-03-09,603.11,UPI,Mobile App,Success
T0000225,C02918,M0253,2025-12-16,758.1,RuPay,E-commerce,Success
T0000226,C03782,M0368,2026-01-16,2734.09,RuPay,ATM,Success
T0000227,C01713,M0258,2025-12-01,438.68,UPI,QR,Success
T0000228,C02636,M0330,2025-09-08,1758.81,RuPay,E-commerce,Success
T0000229,C03765,M0309,2026-05-25,544.11,Acceptance,POS,Success
T0000230,C00594,M0373,2026-05-17,502.6,UPI,Mobile App,Success
T0000231,C01034,M0008,2025-11-15,976.49,UPI,UPI Lite,Reversed
T0000232,C02840,M0251,2026-05-01,554.79,UPI,Mobile App,Success
T0000233,C00212,M0063,2025-09-03,934.53,UPI,UPI Lite,Success
T0000234,C01406,M0133,2025-10-27,229.19,UPI,UPI Lite,Success
T0000235,C03812,M0075,2026-01-26,436.15,NETC,Toll Plaza,Success
T0000236,C03077,M0204,2025-01-26,1023.99,NETC,FASTag,Success
T0000237,C00922,M0332,2026-03-02,726.71,NETC,Toll Plaza,Success
T0000238,C02040,M0319,2026-03-12,501.3,UPI,QR,Success
T0000239,C02200,M0158,2026-04-15,436.5,UPI,UPI Lite,Success
T0000240,C04063,M0454,2026-04-08,185.7,UPI,QR,Success
T0000241,C03239,M0321,2025-07-04,743.15,RuPay,ATM,Success
T0000242,C01494,M0384,2025-05-05,873.57,NETC,FASTag,Success
T0000243,C04174,M0198,2026-03-05,490.31,UPI,UPI Lite,Success
T0000244,C04508,M0148,2025-01-27,888.2,NETC,FASTag,Success
T0000245,C01578,M0394,2026-01-09,622.78,UPI,UPI Lite,Success
T0000246,C01598,M0362,2025-08-11,392.91,UPI,Mobile App,Success
T0000247,C02429,M0033,2026-04-17,434.43,UPI,QR,Success
T0000248,C02996,M0110,2025-10-03,653.03,UPI,UPI Lite,Success
T0000249,C00313,M0222,2025-11-20,348.18,UPI,UPI Lite,Success
T0000250,C02443,M0132,2026-06-13,1520.52,RuPay,POS,Success
T0000251,C03982,M0144,2025-12-06,375.55,UPI,UPI Lite,Success
T0000252,C04076,M0494,2026-06-09,538.25,UPI,UPI Lite,Success
T0000253,C00004,M0476,2025-05-12,1206.5,RuPay,POS,Failed
T0000254,C04205,M0031,2025-10-01,3406.57,Acceptance,QR,Failed
T0000255,C00886,M0266,2026-03-04,3294.56,Acceptance,E-commerce,Failed
T0000256,C04189,M0443,2025-05-19,4474.76,Acceptance,E-commerce,Success
T0000257,C00192,M0382,2025-03-30,270.01,UPI,Mobile App,Success
T0000258,C02381,M0321,2025-09-19,82.2,UPI,UPI Lite,Failed
T0000259,C01236,M0424,2026-03-19,659.62,UPI,QR,Success
T0000260,C03279,M0383,2025-08-06,1004.1,RuPay,E-commerce,Success
T0000261,C04723,M0425,2025-06-10,240.64,UPI,QR,Success
T0000262,C03034,M0493,2025-04-26,580.3,UPI,Mobile App,Success
T0000263,C04669,M0127,2025-04-07,547.04,RuPay,E-commerce,Success
T0000264,C02404,M0486,2025-07-19,1219.65,UPI,Mobile App,Success
T0000265,C04292,M0149,2026-01-12,215.29,UPI,QR,Success
T0000266,C00262,M0156,2026-06-02,757.03,RuPay,POS,Success
T0000267,C02370,M0393,2025-03-12,447.47,UPI,Mobile App,Success
T0000268,C02468,M0021,2025-11-29,845.31,RuPay,E-commerce,Success
T0000269,C01935,M0465,2025-11-08,1060.1,UPI,QR,Success
T0000270,C04428,M0447,2025-04-04,268.56,UPI,UPI Lite,Success
T0000271,C01260,M0320,2026-01-16,784.85,UPI,QR,Success
T0000272,C04777,M0263,2026-05-24,404.62,UPI,QR,Failed
T0000273,C02055,M0049,2025-12-16,1646.17,RuPay,E-commerce,Success
T0000274,C00534,M0147,2026-02-12,366.34,UPI,Mobile App,Success
T0000275,C02120,M0003,2025-02-20,575.69,UPI,Mobile App,Success
T0000276,C01524,M0466,2025-05-05,790.84,UPI,QR,Success
T0000277,C02666,M0086,2025-04-29,668.85,UPI,Mobile App,Success
T0000278,C02187,M0266,2025-07-28,1911.4,UPI,UPI Lite,Success
T0000279,C03458,M0211,2025-12-20,444.48,UPI,Mobile App,Success
T0000280,C02590,M0495,2026-01-03,697.02,UPI,Mobile App,Success
T0000281,C04420,M0151,2026-03-28,348.51,UPI,UPI Lite,Success
T0000282,C01941,M0068,2025-09-11,6261.62,RuPay,E-commerce,Success
T0000283,C03737,M0395,2026-01-12,4006.65,Acceptance,POS,Success
T0000284,C00073,M0211,2025-10-19,274.45,UPI,UPI Lite,Success
T0000285,C02888,M0051,2026-06-17,219.97,UPI,Mobile App,Success
T0000286,C00988,M0404,2026-01-18,1209.94,UPI,UPI Lite,Success
T0000287,C01346,M0148,2025-05-02,564.34,UPI,Mobile App,Success
T0000288,C03413,M0055,2025-02-19,6309.75,RuPay,ATM,Success
T0000289,C01787,M0023,2025-09-13,506.64,UPI,UPI Lite,Success
T0000290,C01032,M0346,2025-08-16,3461.79,RuPay,E-commerce,Success
T0000291,C02007,M0237,2025-02-06,386.31,NETC,Toll Plaza,Success
T0000292,C01231,M0392,2025-03-07,2008.13,RuPay,POS,Success
T0000293,C00411,M0388,2025-07-13,679.51,UPI,Mobile App,Success
T0000294,C02306,M0142,2026-02-15,874.19,Acceptance,QR,Success
T0000295,C01820,M0193,2026-01-06,3309.54,RuPay,ATM,Success
T0000296,C03093,M0463,2025-12-11,3494.17,Acceptance,POS,Success
T0000297,C02592,M0019,2025-11-08,255.62,UPI,Mobile App,Success
T0000298,C02503,M0027,2025-05-14,323.0,NETC,FASTag,Success
T0000299,C00662,M0401,2025-07-31,221.9,UPI,QR,Failed
T0000300,C01230,M0155,2025-06-24,544.13,NETC,Toll Plaza,Success
T0000301,C01357,M0042,2025-08-09,1721.52,RuPay,E-commerce,Success
T0000302,C03093,M0400,2025-07-25,733.45,NETC,FASTag,Success
T0000303,C01674,M0088,2025-03-02,1614.72,RuPay,POS,Success
T0000304,C01089,M0333,2025-05-20,420.46,UPI,QR,Success
T0000305,C03649,M0217,2025-08-04,646.27,UPI,UPI Lite,Success
T0000306,C03551,M0306,2025-01-07,565.89,UPI,UPI Lite,Failed
T0000307,C01961,M0226,2025-08-12,293.79,UPI,Mobile App,Success
T0000308,C03446,M0390,2025-05-22,479.88,UPI,Mobile App,Success
T0000309,C00500,M0098,2026-05-02,476.98,UPI,QR,Success
T0000310,C00326,M0381,2025-05-31,638.31,UPI,QR,Success
T0000311,C04649,M0186,2026-01-19,857.36,UPI,Mobile App,Success
T0000312,C00888,M0398,2026-03-27,716.21,UPI,Mobile App,Success
T0000313,C00996,M0332,2025-04-10,170.59,UPI,QR,Success
T0000314,C03674,M0165,2026-04-28,2201.65,RuPay,POS,Success
T0000315,C03041,M0332,2025-10-16,2408.67,RuPay,POS,Success
T0000316,C00929,M0150,2025-11-28,667.06,NETC,FASTag,Success
T0000317,C02969,M0406,2026-05-31,506.62,UPI,QR,Success
T0000318,C04404,M0174,2026-06-26,3364.09,RuPay,POS,Success
T0000319,C01923,M0442,2025-06-13,4483.53,RuPay,E-commerce,Success
T0000320,C04566,M0381,2026-05-01,69.35,UPI,UPI Lite,Success
T0000321,C03256,M0316,2026-01-03,584.53,UPI,Mobile App,Success
T0000322,C01655,M0263,2025-12-06,2149.38,Acceptance,E-commerce,Failed
T0000323,C00625,M0192,2025-02-03,1273.7,UPI,QR,Success
T0000324,C04345,M0223,2026-02-07,1845.49,RuPay,E-commerce,Success
T0000325,C02372,M0116,2025-05-04,1557.39,RuPay,E-commerce,Success
T0000326,C04700,M0224,2026-05-25,1456.95,RuPay,ATM,Success
T0000327,C00059,M0371,2025-06-12,502.54,UPI,QR,Success
T0000328,C02317,M0403,2025-04-30,2292.24,Acceptance,POS,Success
T0000329,C01278,M0411,2026-01-14,457.57,Acceptance,E-commerce,Success
T0000330,C00687,M0093,2026-03-05,290.53,UPI,QR,Success
T0000331,C04611,M0164,2025-01-17,1602.66,UPI,Mobile App,Success
T0000332,C00533,M0017,2026-01-29,434.9,UPI,UPI Lite,Success
T0000333,C03176,M0141,2026-01-24,676.58,UPI,UPI Lite,Success
T0000334,C03905,M0030,2025-01-15,2481.83,Acceptance,QR,Success
T0000335,C04498,M0330,2025-09-12,334.24,UPI,Mobile App,Success
T0000336,C03853,M0303,2025-05-28,237.68,UPI,UPI Lite,Success
T0000337,C03405,M0385,2026-05-04,282.7,NETC,FASTag,Success
T0000338,C02769,M0423,2025-06-02,1448.16,RuPay,ATM,Success
T0000339,C02925,M0482,2026-05-14,243.29,UPI,Mobile App,Success
T0000340,C02656,M0061,2025-03-15,754.64,RuPay,E-commerce,Success
T0000341,C02141,M0342,2025-11-01,1376.38,RuPay,POS,Success
T0000342,C00574,M0198,2025-06-30,1144.46,RuPay,E-commerce,Success
T0000343,C01566,M0286,2025-02-24,1866.49,RuPay,POS,Success
T0000344,C01806,M0387,2026-04-18,324.98,UPI,QR,Success
T0000345,C00437,M0021,2026-06-15,380.4,UPI,Mobile App,Success
T0000346,C03082,M0438,2025-08-05,145.99,UPI,QR,Success
T0000347,C02504,M0378,2025-09-22,1143.57,Acceptance,QR,Success
T0000348,C02463,M0219,2026-02-10,1149.77,UPI,UPI Lite,Success
T0000349,C03590,M0413,2025-03-01,1336.37,RuPay,POS,Success
T0000350,C01399,M0430,2025-07-21,174.65,UPI,UPI Lite,Success
T0000351,C01555,M0303,2025-05-06,837.21,RuPay,POS,Success
T0000352,C02752,M0203,2026-03-29,2806.78,RuPay,POS,Success
T0000353,C02930,M0141,2025-01-06,181.27,UPI,UPI Lite,Success
T0000354,C04858,M0102,2025-03-12,1371.52,Acceptance,QR,Success
T0000355,C03828,M0084,2025-04-03,614.16,NETC,FASTag,Success
T0000356,C03922,M0066,2026-05-06,809.36,UPI,QR,Success
T0000357,C03267,M0220,2025-05-09,2813.55,RuPay,POS,Success
T0000358,C02694,M0146,2025-06-14,427.37,UPI,UPI Lite,Success
T0000359,C02945,M0223,2025-03-27,1352.05,RuPay,ATM,Success
T0000360,C03498,M0148,2026-06-11,218.44,UPI,QR,Success
T0000361,C04072,M0429,2025-12-06,3607.26,Acceptance,E-commerce,Success
T0000362,C04957,M0270,2025-05-12,282.82,UPI,Mobile App,Success
T0000363,C01975,M0245,2026-05-09,1302.43,UPI,QR,Success
T0000364,C00867,M0370,2026-04-17,986.81,UPI,UPI Lite,Success
T0000365,C01054,M0200,2026-04-05,362.79,UPI,UPI Lite,Failed
T0000366,C02535,M0346,2025-05-01,168.63,UPI,UPI Lite,Success
T0000367,C00028,M0381,2025-10-12,1293.27,UPI,Mobile App,Success
T0000368,C03218,M0300,2025-03-06,435.45,NETC,FASTag,Success
T0000369,C02336,M0277,2025-11-30,786.36,NETC,Toll Plaza,Success
T0000370,C04677,M0279,2025-12-17,958.46,RuPay,ATM,Failed
T0000371,C02998,M0374,2025-05-16,2257.97,RuPay,ATM,Success
T0000372,C02158,M0454,2025-05-14,568.19,UPI,QR,Success
T0000373,C02692,M0211,2025-08-24,2162.73,RuPay,POS,Success
T0000374,C03343,M0410,2025-03-04,385.49,UPI,UPI Lite,Success
T0000375,C01556,M0003,2025-02-27,2939.47,Acceptance,E-commerce,Success
T0000376,C00276,M0066,2025-07-28,1072.55,Acceptance,QR,Success
