offer_id,customer_id,transaction_id,reward_amount
O013,C00897,T0022702,21.74
O004,C02528,T0039543,109.73
O017,C01521,T0036740,148.05
O009,C01176,T0039800,56.28
O013,C01199,T0082025,33.82
O004,C01964,T0016084,219.98
O003,C04431,T0060552,69.43
O014,C03662,T0067728,305.01
O019,C00057,T0005542,83.86
O004,C03063,T0044102,135.66
O004,C04565,T0081448,79.32
O013,C01249,T0047572,19.43
O009,C02930,T0023280,36.76
O015,C02700,T0069971,47.38
O016,C00087,T0087293,78.55
O006,C02684,T0039783,451.0
O003,C03770,T0070514,43.45
O008,C02717,T0017142,59.32
O016,C02274,T0055706,81.53
O012,C02414,T0044490,33.71
O019,C01033,T0061857,23.41
O010,C02523,T0058315,74.68
O016,C00573,T0068394,92.17
O019,C00293,T0060145,24.89
O016,C02876,T0035727,107.19
O010,C00871,T0085451,29.02
O015,C03059,T0021503,33.41
O020,C00831,T0091218,151.87
O009,C01822,T0092294,42.65
O008,C00093,T0004062,53.55
O005,C02188,T0081755,68.34
O002,C03894,T0065126,26.12
O017,C01533,T0002584,210.49
O010,C03791,T0094126,46.36
O018,C04335,T0068091,31.97
O009,C04368,T0013575,9.66
O011,C02894,T0011505,101.2
O007,C02167,T0034738,6.95
O003,C03507,T0027375,22.59
O016,C02787,T0021949,29.31
O014,C04004,T0005389,110.61
O016,C03339,T0046656,78.94
O013,C02364,T0025159,29.86
O007,C03893,T0068984,221.74
O019,C03550,T0016116,437.57
O008,C01669,T0031267,129.02
O003,C04977,T0057919,262.62
O013,C04967,T0033700,721.59
O020,C03152,T0021788,48.35
O008,C02429,T0065562,229.24
O006,C01955,T0047341,136.73
O013,C04293,T0079536,21.22
O019,C02575,T0018895,37.02
O013,C03502,T0087934,256.51
O012,C01487,T0020333,80.61
O009,C01894,T0097776,8.62
O001,C00594,T0091579,56.1
O004,C02877,T0025164,29.85
O002,C00481,T0005373,38.38
O012,C01474,T0011272,100.68
O007,C01410,T0009052,15.44
O010,C01363,T0086669,141.17
O003,C03833,T0060775,175.63
O003,C01730,T0082349,49.8
O003,C02995,T0099015,68.8
O013,C02771,T0001199,39.25
O002,C01191,T0082858,36.61
O012,C00372,T0025951,25.01
O002,C04876,T0046356,136.12
O020,C00884,T0079910,279.67
O001,C00668,T0024884,46.39
O015,C02653,T0046107,159.59
O016,C04955,T0072335,44.39
O019,C00896,T0062361,61.78
O003,C01267,T0051964,18.86
O016,C00120,T0024546,21.67
O018,C03479,T0057364,27.78
O006,C03925,T0029221,197.55
O007,C03627,T0038676,28.96
O002,C03658,T0015117,63.41
O020,C03461,T0064840,1435.85
O015,C04209,T0034465,247.84
O008,C00903,T0036294,106.82
O010,C02553,T0082226,100.49
O003,C03563,T0030574,67.95
O015,C01259,T0097516,10.49
O010,C02159,T0072129,489.92
O014,C00184,T0047418,27.28
O017,C00558,T0093241,58.94
O013,C03531,T0025246,14.67
O010,C04466,T0093889,56.86
O008,C03773,T0015772,72.64
O006,C04481,T0058346,268.96
O020,C03475,T0014372,87.7
O020,C02129,T0040703,127.88
O012,C00840,T0001047,28.25
O012,C03717,T0014059,27.58
O016,C01825,T0028973,15.39
O008,C02424,T0032729,70.33
O009,C04351,T0074081,9.22
O007,C03476,T0024076,24.03
O001,C01509,T0087893,106.92
O002,C00131,T0050657,27.16
O002,C01240,T0004747,39.15
O007,C01352,T0089536,41.81
O002,C03278,T0008351,19.73
O009,C00688,T0080990,50.03
O014,C02158,T0000372,22.73
O019,C02880,T0034800,141.79
O005,C03838,T0034554,31.02
O004,C00525,T0073816,46.79
O013,C01946,T0076723,62.29
O011,C01099,T0060539,108.27
O015,C03010,T0059822,9.92
O016,C03965,T0017530,24.35
O005,C04512,T0066283,15.33
O009,C00285,T0066665,59.61
O007,C04131,T0012778,13.29
O011,C04677,T0018340,70.4
O019,C04812,T0046220,11.86
O020,C04487,T0092697,188.15
O001,C04230,T0075742,280.68
O008,C03983,T0041852,373.34
O009,C02480,T0051110,15.41
O004,C02269,T0036874,133.45
O014,C04322,T0044090,24.53
O010,C01885,T0019179,148.14
O018,C03003,T0096523,528.26
O015,C04381,T0049938,32.37
O005,C02880,T0049396,368.25
O020,C04026,T0061664,159.88
O012,C00222,T0071425,305.03
O020,C03434,T0050402,115.96
O012,C01581,T0044742,177.62
O005,C04515,T0028979,29.75
O007,C04727,T0093049,22.3
O012,C00020,T0091626,40.39
O019,C01968,T0060058,45.09
O016,C00020,T0012090,17.04
O020,C03885,T0047958,105.11
O001,C01380,T0003974,907.73
O009,C00745,T0023997,17.63
O005,C00106,T0069548,111.99
O003,C01301,T0093055,58.26
O007,C01027,T0010387,17.6
O008,C04076,T0078308,300.83
O014,C02554,T0057327,11.3
O005,C00055,T0069148,188.05
O019,C04664,T0031583,79.43
O001,C01852,T0080440,50.13
O019,C04197,T0073214,293.75
O004,C03048,T0080039,135.77
O012,C01823,T0061940,22.73
O003,C01517,T0001520,56.81
O020,C01017,T0033758,37.84
O016,C01175,T0057230,26.46
O005,C02879,T0005731,65.73
O003,C04306,T0071392,73.79
O001,C04793,T0016089,112.27
O016,C00767,T0069219,117.64
O015,C00038,T0091855,17.24
O007,C02688,T0070825,58.05
O020,C01680,T0091498,225.58
O013,C00884,T0057715,52.82
O015,C01123,T0087367,23.34
O004,C03480,T0049937,230.67
O006,C03834,T0096109,32.28
O006,C03753,T0009329,993.86
O006,C00184,T0011548,27.04
O001,C02667,T0066097,308.08
O005,C03633,T0013453,40.49
O013,C01417,T0053961,129.34
O011,C01781,T0066320,77.75
O015,C01397,T0067050,12.65
O006,C03174,T0034856,573.32
O004,C03356,T0000874,69.65
O016,C02875,T0055811,23.19
O003,C02574,T0014175,137.02
O010,C00895,T0059780,52.63
O004,C03433,T0028228,142.75
O010,C02776,T0068811,124.54
O016,C04320,T0050990,15.69
O008,C03867,T0055038,324.39
O019,C00698,T0071619,380.44
O014,C00291,T0008211,15.06
O016,C04632,T0033224,590.83
O005,C01002,T0072341,74.05
O008,C01850,T0049830,52.28
O004,C03207,T0098742,99.74
O016,C03319,T0059331,12.64
O019,C03002,T0077107,46.2
O018,C04310,T0048377,363.53
O009,C00532,T0086813,9.86
O012,C02019,T0031316,65.31
O018,C01462,T0026629,56.21
O005,C04864,T0080909,215.4
O014,C04059,T0005789,109.35
O018,C01831,T0018572,55.59
O012,C01374,T0077872,35.91
O016,C04478,T0008261,15.33
O009,C04133,T0094770,3.96
O018,C00297,T0072438,57.72
O019,C02486,T0094694,193.68
O020,C04746,T0086912,41.58
O007,C04259,T0085011,40.32
O004,C03688,T0017730,46.32
O003,C04554,T0015663,269.21
O010,C01549,T0077886,1507.41
O008,C00385,T0082680,237.25
O006,C03505,T0080425,84.4
O015,C01467,T0087803,8.3
O013,C00548,T0043781,175.92
O010,C01889,T0064341,2155.42
O006,C01527,T0042025,321.16
O002,C02355,T0065283,76.37
O016,C02675,T0018839,9.09
O010,C00787,T0027755,105.93
O003,C01130,T0056908,566.09
O003,C01682,T0099186,72.41
O002,C00988,T0022164,27.85
O001,C01552,T0045358,80.42
O011,C01559,T0014682,152.48
O010,C02661,T0070576,117.22
O016,C03259,T0092842,31.93
O016,C03377,T0063890,7.72
O009,C02388,T0029116,38.11
O014,C03302,T0061270,21.35
O016,C01515,T0092494,35.67
O011,C03088,T0044230,334.01
O017,C00732,T0005041,372.3
O018,C02101,T0029943,56.83
O012,C02950,T0052667,
O017,C00442,T0068111,27.57
O020,C02685,T0039767,150.36
O018,C01714,T0081033,31.59
O004,C04759,T0025967,162.47
O009,C01187,T0068006,34.21
O019,C03123,T0047513,289.66
O016,C02282,T0020484,69.32
O001,C04373,T0006973,43.87
O016,C00016,T0008365,38.56
O013,C03809,T0092808,61.09
O006,C04211,T0011279,106.96
O015,C01376,T0043988,102.61
O020,C04626,T0091150,154.57
O007,C01030,T0023326,24.06
O003,C01501,T0096617,243.7
O012,C00954,T0049992,77.69
O004,C02331,T0067918,65.67
O019,C01284,T0088501,281.04
O020,C02964,T0056314,101.72
O005,C01988,T0060123,101.28
O004,C04891,T0057335,88.48
O013,C01820,T0064257,35.38
O004,C01708,T0094979,17.27
O017,C04464,T0081735,177.14
O006,C04961,T0001803,420.49
O017,C04028,T0072032,162.25
O002,C02171,T0073385,12.27
O014,C02329,T0043638,74.65
O009,C01912,T0083876,22.42
O015,C03029,T0059409,32.06
O016,C01515,T0051420,45.92
O010,C03918,T0050878,900.14
O018,C00320,T0098052,46.62
O007,C03230,T0095777,10.74
O010,C01366,T0090692,131.2
O012,C02740,T0065566,57.05
O010,C02583,T0086192,434.21
O011,C03392,T0004684,104.26
O005,C00500,T0031514,28.04
O011,C03808,T0077444,344.49
O017,C03928,T0031226,89.61
O005,C04333,T0054908,490.31
O008,C02833,T0050332,74.52
O004,C03778,T0022875,79.59
O001,C02552,T0060621,64.89
O019,C00154,T0071478,87.55
O019,C03757,T0065384,53.58
O019,C03158,T0059196,299.45
O001,C02317,T0066209,191.43
O009,C00158,T0014524,7.02
O003,C02594,T0041425,58.68
O004,C02469,T0050847,293.94
O005,C04281,T0037908,225.11
O014,C02345,T0043026,17.1
O008,C00061,T0050960,198.21
O011,C00715,T0056905,70.42
O005,C00736,T0078824,1021.75
O020,C04847,T0098098,204.26
O008,C04875,T0046043,634.45
O019,C03722,T0075361,15.01
O020,C02194,T0041864,68.9
O020,C01146,T0028361,35.47
O003,C01685,T0000612,23.31
O004,C03130,T0079492,360.16
O001,C03629,T0089689,136.74
O007,C04253,T0067019,15.09
O012,C00554,T0011429,61.13
O009,C01002,T0085737,12.87
O002,C04193,T0047158,40.01
O001,C00956,T0017179,219.96
O002,C04024,T0001850,81.67
O010,C04531,T0052555,506.85
O013,C00366,T0084160,313.75
O012,C03754,T0030057,59.19
O019,C01478,T0074347,42.05
O018,C03669,T0043627,466.51
O014,C03060,T0014365,14.86
O015,C03256,T0081016,9.05
O006,C02790,T0022060,36.78
O015,C03225,T0078361,17.99
O005,C04682,T0038927,41.14
O009,C00587,T0017927,9.49
O009,C03016,T0054747,2.89
O012,C04312,T0091230,74.48
O004,C02694,T0067089,63.82
O005,C02119,T0034891,232.86
O008,C00542,T0010059,1059.12
O014,C04333,T0071065,104.77
O012,C04515,T0095025,75.71
O011,C03671,T0058252,65.69
O019,C04822,T0018596,31.79
O018,C01358,T0040058,50.91
O012,C00937,T0078854,105.25
O008,C00043,T0088312,176.59
O003,C02559,T0053916,68.64
O016,C03017,T0016749,17.37
O018,C00566,T0058733,126.39
O012,C04873,T0095265,100.95
O002,C00380,T0072874,827.48
O001,C01558,T0015677,56.45
O004,C00431,T0031863,113.55
O015,C01317,T0054867,47.48
O016,C02477,T0012400,25.73
O004,C02843,T0069120,523.46
O016,C00337,T0045166,4.94
O015,C02266,T0032878,21.85
O001,C00861,T0003949,53.46
O016,C01775,T0094072,88.61
O015,C02372,T0012059,32.39
O015,C02393,T0040499,115.09
O012,C03702,T0004948,105.72
O007,C04752,T0099278,57.5
O012,C00217,T0076913,126.07
O020,C04819,T0028859,107.18
O018,C00208,T0029469,69.03
O005,C01347,T0065046,88.15
O004,C04121,T0067434,163.72
O014,C00785,T0028238,264.7
O006,C04815,T0026081,17.48
O016,C00156,T0060100,68.5
O018,C00760,T0013046,143.63
O008,C02974,T0062872,33.13
O009,C04921,T0004901,42.35
O019,C00780,T0028088,41.82
O002,C02782,T0083861,28.63
O017,C04770,T0090731,169.55
O010,C02314,T0040907,371.44
O015,C04306,T0077842,44.29
O002,C03587,T0043035,75.02
O010,C03481,T0077905,118.66
O015,C04657,T0094886,16.54
O015,C01631,T0068092,9.86
O015,C03220,T0079915,61.29
O008,C03533,T0063419,117.32
O013,C03689,T0010016,38.59
O012,C02148,T0023075,171.45
O009,C00012,T0086033,13.22
O002,C03738,T0060296,38.57
O013,C03528,T0054320,92.66
O013,C04481,T0065513,45.36
O004,C03262,T0005493,83.71
O019,C03358,T0090856,12.79
O014,C04136,T0022920,60.16
O001,C02887,T0084850,194.49
O007,C02692,T0090171,69.83
O002,C03038,T0037378,31.46
O009,C02070,T0035932,19.09
O001,C02061,T0067372,580.47
O013,C01771,T0066743,48.95
O013,C02499,T0094669,34.11
O008,C03746,T0022974,211.06
O003,C00596,T0044818,557.07
O014,C01556,T0046700,32.28
O010,C04202,T0049979,24.0
O001,C00170,T0027766,55.55
O002,C01999,T0083110,71.75
O016,C04626,T0094475,63.1
O015,C02650,T0093962,51.77
O005,C04335,T0018881,67.39
O011,C01411,T0081164,35.86
O014,C02795,T0048749,4.73
O013,C00909,T0065724,58.89
O005,C02126,T0092907,277.45
O011,C02638,T0096260,439.1
O018,C01706,T0076873,74.94
O001,C01509,T0061660,73.33
O007,C04450,T0047255,4.09
O004,C00790,T0048670,211.02
O010,C02104,T0010628,47.21
O002,C00720,T0005467,32.97
O002,C02454,T0088272,19.62
O012,C00492,T0073551,20.71
O001,C01299,T0022603,21.62
O010,C01859,T0052568,71.2
O009,C03558,T0010042,18.33
O016,C00249,T0071834,72.93
O003,C00968,T0089355,56.9
O016,C03154,T0075104,29.92
O002,C00086,T0029840,73.37
O011,C04095,T0013484,43.78
O011,C00542,T0002536,82.02
O014,C03101,T0002590,24.53
O016,C00008,T0074572,27.75
O014,C00225,T0092948,13.77
O001,C04661,T0060111,270.49
O008,C01129,T0050959,32.53
O010,C03785,T0091425,564.9
O009,C03176,T0032116,27.29
O006,C04675,T0099835,113.93
O003,C04938,T0018608,25.84
O011,C02792,T0008374,77.91
O009,C00655,T0024882,23.48
O014,C02417,T0044535,95.75
O017,C04127,T0082205,631.94
O009,C04875,T0045477,4.02
O016,C00023,T0044853,26.04
O005,C04374,T0020983,659.34
O014,C00559,T0079933,11.14
O018,C01139,T0028427,94.95
O012,C01535,T0040483,706.91
O020,C01240,T0082982,70.19
O013,C00337,T0024272,70.18
O011,C01053,T0044651,1317.46
O015,C03410,T0088649,114.63
O016,C01761,T0099685,21.98
O001,C04331,T0077421,52.85
O014,C02355,T0076902,11.65
O003,C04633,T0008278,106.49
O017,C00685,T0071105,169.84
O015,C00737,T0061073,22.32
O020,C02615,T0091206,386.4
O013,C00016,T0071721,43.92
O007,C01093,T0056236,134.16
O009,C04170,T0062867,1.84
O002,C01152,T0082320,64.28
O018,C00336,T0006566,47.29
O008,C03319,T0010432,118.71
O001,C03948,T0016830,321.36
O011,C04409,T0073204,450.56
O011,C01975,T0082316,258.61
O012,C01329,T0048110,69.87
O014,C01336,T0066042,12.14
O012,C01128,T0006720,114.77
O019,C02235,T0069169,235.51
O008,C01948,T0078255,64.7
O005,C04342,T0086155,80.24
O004,C04468,T0089786,163.5
O014,C02872,T0037852,14.09
O011,C02348,T0012721,238.3
O008,C00265,T0000536,251.25
O016,C03534,T0006393,8.3
O005,C01248,T0045562,31.05
O018,C04742,T0046951,32.38
O012,C02368,T0040650,807.5
O005,C01829,T0074098,162.81
O013,C00302,T0020818,62.6
O002,C04241,T0023929,78.61
O001,C02987,T0070503,54.75
O011,C04483,T0088424,111.3
O005,C03900,T0075476,632.64
O012,C01628,T0085657,40.18
O009,C01606,T0036603,50.05
O009,C01256,T0041845,128.63
O015,C01202,T0057669,47.82
O002,C02920,T0035414,54.26
O018,C02560,T0021333,153.49
O015,C03940,T0098985,36.07
O013,C01483,T0015395,184.06
O018,C01560,T0028581,204.81
O017,C03029,T0017343,99.26
O004,C04935,T0026848,109.04
O011,C04397,T0036057,42.84
O011,C02091,T0020649,1271.67
O016,C03367,T0091931,25.88
O020,C02083,T0012851,115.35
O005,C04621,T0053603,170.68
O008,C00628,T0095440,61.14
O001,C00450,T0004554,212.99
O012,C02740,T0006698,296.32
O008,C04240,T0043690,494.84
O001,C04973,T0028152,965.08
O007,C01342,T0041569,17.32
O015,C01735,T0029363,38.47
O006,C04114,T0044873,33.56
O003,C03888,T0063565,93.8
O012,C04172,T0004560,207.59
O019,C04630,T0009789,14.56
O003,C00022,T0061307,111.22
O001,C00474,T0040951,99.2
O013,C04266,T0026009,27.99
O011,C01573,T0017694,83.2
O004,C02966,T0037103,65.28
O017,C02236,T0066539,15.0
O015,C04947,T0006690,10.72
O002,C00049,T0043294,68.3
O017,C02454,T0009327,80.42
O006,C03896,T0047568,63.31
O007,C03304,T0064601,19.76
O018,C00281,T0055710,39.56
O007,C01707,T0024608,38.91
O007,C02819,T0062448,16.25
O007,C02395,T0038690,59.42
O020,C00706,T0088528,129.53
O002,C03218,T0094535,22.59
O015,C04774,T0055026,60.86
O004,C04701,T0080276,110.23
O018,C02928,T0088982,4.6
O018,C04885,T0036260,42.04
O011,C02267,T0043774,30.48
O002,C03233,T0022536,73.71
O006,C00951,T0095699,23.16
O006,C02015,T0018011,225.03
O007,C03262,T0010751,52.16
O019,C03862,T0095350,56.0
O005,C03160,T0007150,178.53
O013,C03701,T0003364,70.05
O016,C01618,T0033047,33.14
O013,C03975,T0033887,43.21
O004,C00179,T0024864,35.81
O001,C01148,T0031051,109.11
O008,C02120,T0052077,51.77
O003,C02613,T0061115,219.12
O006,C00657,T0098700,465.54
O006,C03754,T0014357,563.9
O015,C01982,T0097359,185.73
O011,C02532,T0027677,28.26
O004,C01925,T0015348,728.27
O018,C00849,T0044819,37.58
O015,C04055,T0078535,40.87
O014,C00628,T0068522,13.6
O001,C03712,T0070308,112.43
O009,C04563,T0065797,22.63
O016,C03621,T0071692,25.04
O009,C03073,T0082740,61.48
O007,C03744,T0011904,17.29
O015,C01809,T0051539,47.79
O018,C00439,T0017352,48.33
O007,C03692,T0018622,8.12
O002,C02898,T0024427,107.89
O010,C01800,T0018296,76.76
O019,C00706,T0021470,120.0
O006,C03306,T0086610,122.63
O012,C03063,T0073897,39.47
O013,C00458,T0099965,98.23
O002,C02809,T0019222,130.74
O020,C03283,T0098770,150.54
O020,C03003,T0010939,16.91
O006,C02155,T0090269,36.48
O009,C01089,T0080452,29.62
O008,C02968,T0033128,310.09
O010,C01739,T0077170,74.2
O009,C00867,T0050669,44.53
O020,C00822,T0031286,132.67
O005,C03558,T0067895,31.04
O008,C03583,T0054383,108.28
O009,C04731,T0058792,9.03
O010,C00807,T0038515,80.52
O011,C01929,T0023008,231.08
O017,C00766,T0075898,160.33
O009,C02319,T0069363,21.77
O006,C01095,T0034709,68.11
O004,C04201,T0033950,72.48
O007,C02794,T0004028,39.78
O018,C04547,T0072221,240.65
O003,C03185,T0019638,100.35
O014,C04924,T0099132,199.01
O018,C04008,T0045367,92.98
O004,C03870,T0006990,51.9
O019,C00686,T0029429,107.34
O001,C03133,T0000105,341.89
O018,C01049,T0032036,71.58
O008,C01622,T0054173,60.89
O020,C04601,T0025448,33.12
O007,C02806,T0047648,8.29
O002,C00348,T0044104,62.7
O005,C00037,T0088976,108.43
O007,C01874,T0098539,46.41
O009,C01098,T0077878,4.76
O016,C01353,T0058978,36.28
O012,C02525,T0075168,59.22
O013,C02576,T0067175,93.14
O004,C00849,T0070429,17.69
O014,C04024,T0089914,66.62
O005,C01826,T0052512,56.9
O018,C02500,T0003332,62.77
O018,C00944,T0063554,117.48
O006,C04238,T0029946,348.15
O006,C02831,T0081604,241.6
O002,C02325,T0036416,31.24
O013,C03583,T0004422,115.75
O002,C02494,T0079256,55.55
O020,C01302,T0027656,60.1
O014,C00400,T0041344,6.64
O009,C04613,T0095540,27.84
O012,C02170,T0040531,97.17
O018,C02600,T0019118,137.3
O006,C00352,T0043212,858.05
O016,C04202,T0099129,223.48
O019,C03184,T0084071,182.64
O017,C02190,T0028103,172.22
O007,C03194,T0071799,33.74
O018,C01178,T0061372,142.19
O006,C04993,T0052759,115.12
O004,C04961,T0014743,16.56
O007,C00848,T0099003,15.39
O018,C02720,T0028097,341.56
O009,C02015,T0030081,137.94
O020,C01621,T0013032,40.77
O014,C02345,T0082644,10.02
O019,C04700,T0026304,136.5
O005,C04775,T0034909,27.1
O010,C04590,T0003127,47.24
O009,C03177,T0060368,315.48
O012,C03766,T0031610,92.95
O002,C01073,T0016581,13.29
O014,C03036,T0079339,23.82
O013,C00955,T0004361,91.34
O008,C00297,T0058879,48.95
O002,C01710,T0040865,127.2
O016,C01188,T0087246,14.39
O018,C00390,T0004104,34.14
O019,C03801,T0034037,67.76
O009,C02354,T0001526,66.28
O017,C01242,T0044228,33.09
O003,C01878,T0018156,23.4
O018,C00933,T0050331,207.36
O003,C02717,T0048013,27.75
O006,C00841,T0096159,45.03
O011,C03675,T0019645,16.51
O020,C04393,T0077102,182.17
O011,C03121,T0054863,170.37
O012,C00856,T0029086,148.44
O001,C03702,T0008329,841.14
O018,C04012,T0072855,29.64
O007,C03006,T0048866,28.42
O003,C00367,T0095272,102.36
O018,C03682,T0027164,218.45
O014,C03368,T0065908,17.23
O019,C01117,T0035642,17.02
O014,C03813,T0099538,18.22
O018,C01366,T0009525,346.48
O001,C04568,T0053883,82.87
O018,C02483,T0066374,229.24
O006,C02645,T0095645,106.88
O018,C01409,T0070138,92.43
O013,C03530,T0066322,387.32
O001,C04099,T0036239,578.1
O011,C02338,T0079864,368.56
O013,C01695,T0071375,36.04
O004,C03295,T0096004,391.2
O020,C02438,T0055449,117.05
O010,C02258,T0042156,168.01
O019,C04637,T0036065,150.3
O008,C04692,T0044897,142.7
O014,C00077,T0097739,37.7
O016,C03456,T0097663,63.79
O001,C00569,T0075356,292.69
O020,C00125,T0059347,261.54
O013,C04123,T0069847,43.04
O010,C04408,T0014350,40.15
O009,C03564,T0080336,7.72
O014,C04496,T0041838,26.59
O020,C04554,T0088270,88.79
O013,C02356,T0021069,53.97
O018,C04007,T0000988,61.11
O004,C01156,T0072219,22.34
O019,C03569,T0018828,24.82
O019,C03462,T0078418,159.18
O010,C04864,T0064906,309.01
O009,C00692,T0084267,184.79
O002,C04529,T0018000,56.62
O007,C00203,T0025011,274.78
O011,C03828,T0095498,16.06
O020,C01977,T0001509,68.0
O018,C03899,T0025272,23.68
O017,C04164,T0038646,362.92
O001,C00299,T0058500,129.94
O001,C01387,T0005199,56.14
O006,C02032,T0028784,286.53
O002,C00053,T0034505,42.53
O010,C01679,T0087417,54.54
O004,C02702,T0018867,36.71
O016,C03385,T0007608,17.75
O009,C02028,T0059843,10.39
O007,C02099,T0060471,86.63
O017,C02829,T0010014,126.78
O007,C02061,T0018942,27.41
O019,C03801,T0052633,90.48
O020,C01240,T0043387,371.96
O017,C03128,T0064169,107.67
O010,C02925,T0039033,572.86
O020,C03910,T0080965,67.49
O018,C00005,T0059401,216.45
O006,C00186,T0001825,217.73
O004,C01871,T0023308,25.79
O010,C01483,T0065460,71.24
O009,C04761,T0010228,122.2
O007,C02570,T0073058,11.15
O003,C04408,T0027179,82.94
O009,C01210,T0019676,29.53
O005,C00845,T0090224,28.8
O005,C00432,T0062310,63.61
O001,C03655,T0096419,512.2
O003,C03179,T0024860,1311.88
O006,C01678,T0079814,63.22
O010,C02986,T0040385,80.08
O012,C01363,T0084999,48.69
O017,C02386,T0006493,438.7
O011,C03593,T0051547,45.4
O018,C04437,T0046495,125.04
O015,C03455,T0013959,12.52
O016,C04256,T0070332,85.04
O005,C01825,T0003381,110.67
O013,C02280,T0051456,28.86
O004,C00475,T0076542,148.73
O020,C00238,T0025838,122.79
O020,C00294,T0019489,83.22
O012,C04019,T0052812,340.03
O004,C04262,T0018993,23.3
O017,C04178,T0010286,318.4
O014,C03018,T0032101,78.02
O015,C04522,T0044128,34.36
O019,C00121,T0094230,22.01
O007,C03336,T0037831,8.34
O018,C02544,T0099861,64.09
O018,C03543,T0072434,27.82
O006,C03295,T0059674,11.48
O020,C00877,T0005361,158.55
O005,C03502,T0074449,40.98
O007,C00221,T0000994,23.33
O011,C02426,T0054944,254.14
O017,C03085,T0025291,84.65
O005,C00235,T0043253,591.19
O012,C03644,T0059203,176.42
O006,C01247,T0070244,317.21
O003,C04714,T0032652,87.22
O017,C00577,T0064883,41.28
O002,C03557,T0089466,20.76
O017,C00168,T0038484,73.38
O008,C00840,T0062621,84.76
O014,C04566,T0017760,36.55
O016,C04919,T0094634,12.39
O001,C03954,T0009594,279.33
O018,C03075,T0061699,649.76
O002,C03090,T0087913,11.85
O004,C04629,T0021764,49.16
O004,C03878,T0005657,96.35
O010,C01698,T0043698,148.6
O017,C02384,T0023350,1099.45
O005,C03755,T0013321,108.36
O019,C00386,T0070635,163.76
O008,C00921,T0047776,256.89
O017,C03928,T0009260,119.28
O013,C04150,T0055726,23.84
O011,C02450,T0053320,396.23
O010,C01327,T0009414,84.66
O009,C04967,T0011537,16.28
O018,C02642,T0015511,160.06
O007,C02579,T0044911,41.41
O011,C04484,T0043497,47.01
O011,C02655,T0005385,504.88
O018,C01460,T0092748,93.54
O011,C03838,T0035663,50.56
O007,C04906,T0099607,20.47
O016,C01637,T0083459,20.65
O014,C04793,T0004408,46.68
O019,C03612,T0000808,29.34
O007,C04076,T0007999,111.55
